D100 row,D100 pin in row,D100 pin,D25 plug,D25 pin,DAC chn,Trap electrode,Package pad,CPGA grid,Note
,,,1,13,,,,,GND
,,,2,13,,,,,GND
,,,3,13,,,,,GND
,,,4,13,,,,,GND
1,11,90,,,,,,,GND
1,24,77,,,,,,,GND
,,,,,,,2,C7,GND
,,,,,,,49,L7,GND
2,4,72,4,9,83,L0,7,A2,
2,18,58,4,18,92,L1,44,N2,
1,1,100,4,22,96,L2,6,E2,
2,22,54,4,1,75,L3,45,N1,
2,8,68,4,21,95,L4,5,A5,
2,16,60,4,17,91,L5,46,N5,
2,6,70,4,7,81,L6,4,D1,
1,22,79,4,5,79,L7,47,K1,
1,8,93,4,24,98,L8,3,B2,
1,18,83,4,4,78,L9,48,M2,
2,13,63,4,19,93,O0,77,F11,
4,13,14,4,11,85,O1,74,G12,
2,7,69,3,24,73,Q0,23,A4,
1,17,84,3,3,52,Q1,28,N4,
1,7,94,3,20,69,Q10,12,C2,
1,20,81,3,5,54,Q11,39,J1,
1,9,92,1,7,6,Q12,11,B3,
1,25,76,1,3,2,Q13,40,M3,
1,4,97,1,21,20,Q14,10,E1,
2,23,53,1,4,3,Q15,41,L2,
4,1,26,1,24,23,Q16,9,B5,
2,15,61,1,18,17,Q17,42,M5,
2,3,73,1,9,8,Q18,8,A1,
1,23,78,1,16,15,Q19,43,J2,
1,5,96,3,8,57,Q2,20,D2,
3,8,44,1,20,19,Q20,91,B13,
3,16,36,1,19,18,Q21,60,J13,
3,3,49,1,23,22,Q22,88,A8,
4,24,3,1,2,1,Q23,63,N8,
4,5,22,1,12,11,Q24,92,B9,
3,22,30,1,1,0,Q25,59,M9,
3,6,46,1,8,7,Q26,86,A11,
4,21,6,1,14,13,Q27,65,N11,
4,10,17,2,24,48,Q28,93,E12,
4,17,10,2,2,26,Q29,58,L12,
1,19,82,3,15,64,Q3,31,H2,
4,4,23,2,22,46,Q30,84,B8,
3,23,29,2,6,30,Q31,67,M8,
3,9,43,2,8,32,Q32,94,A12,
4,19,8,2,3,27,Q33,57,N12,
4,6,21,2,11,35,Q34,82,B10,
3,21,31,2,5,29,Q35,69,M10,
4,8,19,2,23,47,Q36,95,C12,
4,15,12,2,1,25,Q37,56,J12,
3,5,47,2,21,45,Q38,78,A10,
4,22,5,2,4,28,Q39,73,N10,
1,10,91,3,23,72,Q4,19,B4,
3,4,48,2,10,34,Q40,96,A9,
4,23,4,2,17,41,Q41,55,N9,
3,11,41,2,25,49,Q42,97,D13,
3,20,32,2,15,39,Q43,54,N13,
2,9,67,3,11,60,Q44,25,C6,
2,14,62,3,16,65,Q45,26,L6,
4,2,25,3,22,71,Q46,21,B6,
3,25,27,3,17,66,Q47,30,M6,
1,3,98,3,21,70,Q48,18,F2,
2,21,55,3,1,50,Q49,33,K2,
2,19,57,3,2,51,Q5,32,M4,
2,2,74,1,10,9,Q50,16,B1,
1,21,80,1,17,16,Q51,35,H1,
1,2,99,1,22,21,Q52,14,F1,
2,20,56,1,5,4,Q53,37,M1,
3,1,51,1,11,10,Q54,13,A6,
4,26,1,1,15,14,Q55,38,N6,
4,9,18,1,25,24,Q56,87,D12,
3,15,37,1,6,5,Q57,64,H13,
3,13,39,2,7,31,Q58,85,F13,
4,16,11,2,14,38,Q59,66,K12,
2,5,71,3,7,56,Q6,15,A3,
3,10,42,2,12,36,Q60,83,C13,
4,14,13,2,16,40,Q61,68,H12,
4,3,24,2,9,33,Q62,80,B7,
3,24,28,2,18,42,Q63,71,M7,
1,12,89,2,20,44,Q64,76,C8,
1,15,86,2,19,43,Q65,75,L8,
2,17,59,3,18,67,Q7,36,N3,
3,2,50,3,9,58,Q8,17,A7,
4,25,2,3,14,63,Q9,34,N7,
,,,,,,RF,,G1,
,,,,,,RF Sense,,G11,
,,,,,,Resistive 1,50,L3,
,,,,,,Resistive 2,51,L11,
4,11,16,4,12,86,S0,81,F12,
3,18,34,4,2,76,S1,70,L13,
1,6,95,4,8,82,S10,22,F3,
2,24,52,4,16,90,S11,29,L1,
3,14,38,4,14,88,S2,79,G13,
1,14,87,4,25,99,S3,72,H11,
3,12,40,4,15,89,S4,89,E13,
3,19,33,4,20,94,S5,62,M13,
4,7,20,4,23,97,S6,90,B11,
4,20,7,4,3,77,S7,61,M11,
2,1,75,4,10,84,S8,24,C1,
1,16,85,4,6,80,S9,27,H3,
1,13,88,3,19,68,TI1,1,C3,
2,11,65,3,6,55,TI2,100,C11,
2,10,66,3,10,59,TV1,1,C3,
2,12,64,3,4,53,TV2,100,C11,
4,12,15,,,,W1-1,98,B12,GND
3,7,45,,,,W1-2,99,A13,GND
4,18,9,3,25,74,W2-1,53,M12,
3,17,35,3,12,61,W2-2,52,K13,
